hgnc_id	symbol	score
HGNC:15886	AAR2	1
HGNC:49667	ABALON	1
HGNC:15868	ABHD12	1
HGNC:16128	ABHD16B	1
HGNC:15919	ACOT8	1
HGNC:16091	ACSS1	1
HGNC:15814	ACSS2	1
HGNC:148	ACTG1P3	1
HGNC:16127	ACTL10	1
HGNC:14671	ACTR5	1
HGNC:186	ADA	1
HGNC:15478	ADAM33	1
HGNC:52339	ADI1P1	1
HGNC:28606	ADIG	1
HGNC:15766	ADNP	1
HGNC:51227	ADNP-AS1	1
HGNC:280	ADRA1D	1
HGNC:15759	ADRM1	1
HGNC:51747	AGGF1P10	1
HGNC:343	AHCY	1
HGNC:16543	AIMP1P1	1
HGNC:34539	ALS7	1
HGNC:487	ANGPT4	1
HGNC:15803	ANKEF1	1
HGNC:52329	ANKRD20A21P	1
HGNC:16217	ANKRD60	1
HGNC:15875	AP5S1	1
HGNC:26892	APCDD1L	1
HGNC:27152	APCDD1L-AS1	1
HGNC:13238	APMAP	1
HGNC:16599	ARF4P2	1
HGNC:15852	ARFGAP1	1
HGNC:15853	ARFGEF2	1
HGNC:662	ARFRP1	1
HGNC:16226	ARHGAP40	1
HGNC:16092	ARPC3P1	1
HGNC:745	ASIP	1
HGNC:18318	ASXL1	1
HGNC:31123	ATG3P1	1
HGNC:838	ATP5F1E	1
HGNC:13540	ATP9A	1
HGNC:885	ATRN	1
HGNC:11393	AURKA	1
HGNC:894	AVP	1
HGNC:928	B4GALT5	1
HGNC:996	BAK1P1	1
HGNC:16172	BANF2	1
HGNC:974	BCAS1	1
HGNC:14367	BCAS4	1
HGNC:992	BCL2L1	1
HGNC:1040	BFSP1	1
HGNC:16093	BHLHE23	1
HGNC:13702	BIRC7	1
HGNC:1055	BLCAP	1
HGNC:22120	BMIQ6	1
HGNC:1069	BMP2	1
HGNC:1074	BMP7	1
HGNC:40096	BMP7-AS1	1
HGNC:1095	BPI	1
HGNC:15749	BPIFA1	1
HGNC:16203	BPIFA2	1
HGNC:16204	BPIFA3	1
HGNC:20469	BPIFA4P	1
HGNC:16108	BPIFB1	1
HGNC:16177	BPIFB2	1
HGNC:16178	BPIFB3	1
HGNC:16179	BPIFB4	1
HGNC:42177	BPIFB5P	1
HGNC:16504	BPIFB6	1
HGNC:16109	BPIFB9P	1
HGNC:51536	BSNDP1	1
HGNC:51537	BSNDP2	1
HGNC:51538	BSNDP3	1
HGNC:15854	BTBD3	1
HGNC:15873	C20orf27	1
HGNC:16210	C20orf78	1
HGNC:16216	C20orf85	1
HGNC:16227	C20orf96	1
HGNC:16134	C20orf141	1
HGNC:16137	C20orf144	1
HGNC:16166	C20orf173	1
HGNC:16174	C20orf181	1
HGNC:16180	C20orf187	1
HGNC:17721	C20orf194	1
HGNC:26318	C20orf196	1
HGNC:26601	C20orf197	1
HGNC:37254	C20orf202	1
HGNC:26592	C20orf203	1
HGNC:27655	C20orf204	1
HGNC:16143	CABLES2	1
HGNC:49477	CASC20	1
HGNC:15878	CASS4	1
HGNC:1536	CBFA2T2	1
HGNC:16231	CBLN4	1
HGNC:16153	CCM2L	1
HGNC:37694	CCNB1IP1P2	1
HGNC:1648	CD24P3	1
HGNC:11919	CD40	1
HGNC:15855	CD93	1
HGNC:1726	CDC25B	1
HGNC:51754	CDC27P3	1
HGNC:51753	CDC27P4	1
HGNC:51755	CDC27P5	1
HGNC:16339	CDC42P1	1
HGNC:1763	CDH4	1
HGNC:13251	CDH22	1
HGNC:15902	CDH26	1
HGNC:15880	CDK5RAP1	1
HGNC:1801	CDS2	1
HGNC:1834	CEBPB	1
HGNC:51226	CEBPB-AS1	1
HGNC:1852	CENPB	1
HGNC:1859	CEP250	1
HGNC:15872	CFAP61	1
HGNC:16182	CFTRP1	1
HGNC:51351	CFTRP2	1
HGNC:51352	CFTRP3	1
HGNC:19057	CHD6	1
HGNC:1930	CHGB	1
HGNC:16171	CHMP4B	1
HGNC:1958	CHRNA4	1
HGNC:37753	CICP4	1
HGNC:16145	CNBD2	1
HGNC:2219	COL9A3	1
HGNC:14670	COL20A1	1
HGNC:16223	COMMD7	1
HGNC:16232	COX4I2	1
HGNC:16600	COX6CP2	1
HGNC:16601	COX7BP2	1
HGNC:2314	CPNE1	1
HGNC:15771	CPXM1	1
HGNC:16148	CRLS1	1
HGNC:15762	CRNKL1	1
HGNC:2431	CSE1L	1
HGNC:51232	CSE1L-AS1	1
HGNC:2457	CSNK2A1	1
HGNC:2473	CST1	1
HGNC:2474	CST2	1
HGNC:45042	CST2P1	1
HGNC:2475	CST3	1
HGNC:2476	CST4	1
HGNC:2477	CST5	1
HGNC:2479	CST7	1
HGNC:2480	CST8	1
HGNC:13261	CST9	1
HGNC:16233	CST9L	1
HGNC:39552	CST9LP1	1
HGNC:44337	CST9LP2	1
HGNC:15959	CST11	1
HGNC:31920	CST12P	1
HGNC:44335	CST13P	1
HGNC:2483	CSTF1	1
HGNC:15958	CSTL1	1
HGNC:2486	CSTP1	1
